Datetime,Month,Average Fish Weight (g),Survival Rate (%),Disease Occurrence (Cases),Temperature (°C),Dissolved Oxygen (mg/L),pH,Turbidity (NTU),Month_Num,month_x,Oxygenation Interventions,Corrective Interventions,Average Temperature (°C),High Temperature (°C),Low Temperature (°C),Precipitation (inches),month_y,day,hour,oxigeno_scaled,ph,turbidez,Oxygenation Automatic,Corrective Measures,Thermal Risk Index,Low Oxygen Alert,Health Status
45292,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1,0,8.355272596626154,0.3878984173693001,0.02050501721736663,Yes,No,Normal,Safe,Stable
45292.04166666666,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1,1,8.256396756758408,0.3439496398474106,0.1085607109187936,No,No,Normal,Safe,Stable
45292.08333333334,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,1,0,29.1,33.9,24.1,0.51,1,1,2,8.511549168122233,0.36528466774196,0.4104567232396672,Yes,No,Normal,Safe,Stable
45292.125,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1,3,8.362300877951469,0.1896012894729231,0.8912168986754795,No,No,Normal,Safe,Stable
45292.16666666666,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1,4,8.00334994360867,0.3187749757309436,0.9366141691421074,Yes,No,Normal,Safe,Stable
45292.20833333334,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1,5,8.118862300302208,0.4086808224580037,0.01686536218333742,No,No,Normal,Safe,Stable
45292.25,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1.052631578947368,4.736842105263158,8.126823099641959,0.4080534545346238,0.01603988501423342,Yes,No,Normal,Safe,Stable
45292.29166666666,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1.105263157894737,4.473684210526316,8.134783898981707,0.407426086611244,0.01521440784512942,No,No,Normal,Safe,Stable
45292.33333333334,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1.157894736842105,4.210526315789473,8.142744698321458,0.4067987186878642,0.01438893067602542,Yes,No,Normal,Safe,Stable
45292.375,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,1,0,29.1,33.9,24.1,0.51,1,1.210526315789474,3.947368421052632,8.150705497661209,0.4061713507644843,0.01356345350692142,No,No,Normal,Safe,Stable
45292.41666666666,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,1,0,29.1,33.9,24.1,0.51,1,1.263157894736842,3.684210526315789,8.158666297000957,0.4055439828411044,0.01273797633781742,Yes,No,Normal,Safe,Stable
45292.45833333334,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1.315789473684211,3.421052631578947,8.166627096340708,0.4049166149177246,0.01191249916871342,No,No,Normal,Safe,Stable
45292.5,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,1,0,29.1,33.9,24.1,0.51,1,1.368421052631579,3.157894736842105,8.174587895680459,0.4042892469943448,0.01108702199960942,Yes,No,Normal,Safe,Stable
45292.54166666666,January,275.82,95.27,2,27.47,6.34,7.98,3.3,1,1,0,0,29.1,33.9,24.1,0.51,1,1.421052631578947,2.894736842105263,8.182548695020207,0.4036618790709649,0.01026154483050542,No,No,Normal,Safe,Stable
