created_at,entry_id,Temperature(C),Turbidity(NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g)
2021-06-19 00:01:46 UTC,1972,23.5,30,0.723,9.02832,5.9156,285,75,7.3,3.2
2021-06-19 00:02:05 UTC,1973,23.5,29,0.008,8.98746,5.80338,290,75,7.3,3.2
2021-06-19 00:05:01 UTC,1982,23.4375,29,1.365,9.04647,5.65,302,75,7.3,3.2
2021-06-19 00:10:14 UTC,1998,23.4375,30,0.249,9.06009,5.54304,289,75,7.3,3.2
2021-06-19 00:35:35 UTC,2072,23.4375,30,1.892,9.1191,4.79604,297,75,7.3,3.2
2021-06-19 00:36:15 UTC,2074,23.375,30,0.482,8.9693,4.83261,299,75,7.3,3.2
2021-06-19 00:37:33 UTC,2078,23.375,30,2.937,9.05101,4.77786,302,75,7.3,3.2
2021-06-19 00:38:51 UTC,2082,23.375,30,0.812,9.0147,4.46257,300,75,7.3,3.2
2021-06-19 00:43:05 UTC,2095,23.375,28,1.214,8.42457,7.25512,305,75,7.3,3.2
2021-06-19 00:43:25 UTC,2096,23.375,29,0.374,9.08733,7.19917,296,75,7.3,3.2
2021-06-19 00:44:23 UTC,2099,23.375,28,1.071,9.05101,7.31152,304,75,7.3,3.2
2021-06-19 00:47:00 UTC,2107,23.375,28,1.223,9.1191,7.87096,297,75,7.3,3.2
2021-06-19 00:55:06 UTC,2130,23.375,28,0.624,9.14634,8.1834,302,75,7.3,3.2
2021-06-19 01:05:13 UTC,2161,23.375,29,1.58,8.96022,6.53692,302,75,7.3,3.2
2021-06-19 01:13:22 UTC,2186,23.375,28,0.58,8.86943,7.84042,299,75,7.3,3.2
2021-06-19 01:14:20 UTC,2189,23.375,28,0.723,8.91483,7.9944,298,75,7.3,3.2
2021-06-19 01:22:09 UTC,2213,23.3125,28,1.999,8.86489,8.15157,297,75,7.3,3.2
2021-06-19 01:26:44 UTC,2227,23.3125,29,3.374,9.10095,7.3399,290,75,7.3,3.2
2021-06-19 01:29:02 UTC,2234,23.375,28,0.33,9.01924,7.84042,295,75,7.3,3.2
2021-06-19 01:31:00 UTC,2240,23.3125,28,0.053,9.05101,8.1834,285,75,7.3,3.2
2021-06-19 01:33:17 UTC,2247,23.375,28,1.017,9.03286,8.3445,299,75,7.3,3.2
2021-06-19 01:45:57 UTC,2286,23.3125,28,0.187,9.05101,7.96335,299,75,7.3,3.2
2021-06-19 01:48:34 UTC,2294,23.3125,29,0.955,9.04647,7.84042,289,75,7.3,3.2
2021-06-19 01:50:50 UTC,2301,23.25,28,1.49,9.04647,8.15157,299,75,7.3,3.2
2021-06-19 01:54:27 UTC,2312,23.3125,30,1.214,8.89667,7.81001,287,75,7.3,3.2
2021-06-19 02:02:51 UTC,2334,23.3125,28,0.517,9.02832,8.11988,299,75,7.3,3.2
2021-06-19 02:04:50 UTC,2340,23.3125,28,1.687,9.06917,8.15157,296,75,7.3,3.2
2021-06-19 02:08:05 UTC,2350,23.3125,28,1.321,9.07825,8.15157,297,75,7.3,3.2
2021-06-19 02:09:23 UTC,2354,23.25,30,0.223,8.97838,6.89949,299,75,7.3,3.2
2021-06-19 02:09:42 UTC,2355,23.25,29,0.169,9.00108,8.3445,286,75,7.3,3.2
2021-06-19 02:10:41 UTC,2358,23.3125,28,0.357,9.0147,8.27966,298,75,7.3,3.2
